Dialect	Path	Adversarial Target	ASR Output	Adversarial WER
valencià	adversarial_38406828.wav	porta'm a un lloc web malvat	danotafa una greta llongevar  el van agur	1.1666666666666667
valencià	adversarial_38363523.wav	porta'm a un lloc web malvat	el imforneseutular ure  rlomes rui per la ioa	1.3333333333333333
valencià	adversarial_38943678.wav	porta'm a un lloc web malvat	canigar un llum emb el clau	1.0
valencià	adversarial_39907748.wav	porta'm a un lloc web malvat	el document recull també els principals problemes de l'economia catalana	1.6666666666666667
valencià	adversarial_31314438.wav	porta'm a un lloc web malvat	motam carlotla qasempr molt feliç en el seu matrimoni	1.5
valencià	adversarial_38686058.wav	porta'm a un lloc web malvat	a ceremonio vacem bellcu	0.8333333333333334
valencià	adversarial_38486260.wav	porta'm a un lloc web malvat	tanbé va sés el primer de cans màxm d osculivam a la competició professional	2.3333333333333335
valencià	adversarial_38828620.wav	porta'm a un lloc web malvat	al governa niles idels	1.0
valencià	adversarial_38382523.wav	porta'm a un lloc web malvat	esprate un emfíciamponer de grans diluntaontal anpapals wag do	1.5
valencià	adversarial_18292922.wav	porta'm a un lloc web malvat	mením d'anglés	1.0
valencià	adversarial_38122645.wav	porta'm a un lloc web malvat	iautilita veneneqor e cap de foc mé ecilaire iragnada la tena	1.8333333333333333
valencià	adversarial_33195299.wav	porta'm a un lloc web malvat	cominvestigació i treballo un illorosatgons d'informació	1.0
valencià	adversarial_31942133.wav	porta'm a un lloc web malvat	per sant jordi na vinyet bemmat iran a l'orig	1.5
valencià	adversarial_38801779.wav	porta'm a un lloc web malvat	penja a lesquerre del pit i se situa després de lorde de la bandera rotja	2.3333333333333335
valencià	adversarial_38531174.wav	porta'm a un lloc web malvat	entre la fauna també destaquen els coralls  les barracudes i les prortugues marines	2.1666666666666665
valencià	adversarial_20283433.wav	porta'm a un lloc web malvat	en u villuqe d'imat és el vet	1.1666666666666667
valencià	adversarial_38370180.wav	porta'm a un lloc web malvat	aqueste soparació és ladaensisgevics i maltològics	1.0
valencià	adversarial_33607149.wav	porta'm a un lloc web malvat	atenem el públic be vi devui	1.0
valencià	adversarial_21927771.wav	porta'm a un lloc web malvat	pertanyia a una família molesca de vígicastellà	1.0
valencià	adversarial_31132389.wav	porta'm a un lloc web malvat	va ser vicepresuant del centre excursionista del batges	1.3333333333333333
valencià	adversarial_39149559.wav	porta'm a un lloc web malvat	la seva mare feia hem muulmana  però els seu germams concripiant	1.8333333333333333
valencià	adversarial_38418097.wav	porta'm a un lloc web malvat	com ho faig per ameva a la plaça de llocnes sabartem número vuit	2.0
valencià	adversarial_21337827.wav	porta'm a un lloc web malvat	sanaportada diversos caulis peraiexperendes amb ourocòma edional	1.1666666666666667
valencià	adversarial_39271335.wav	porta'm a un lloc web malvat	es caracteritzen per penir als àlitres cous que recobreixen completamennadomen i sovin col·loracions distodres	2.3333333333333335
valencià	adversarial_21103311.wav	porta'm a un lloc web malvat	l'estat de conservació d'aquests és mitja	1.0
valencià	adversarial_19394870.wav	porta'm a un lloc web malvat	es va demanar que la missió funciónés plegament	1.3333333333333333
valencià	adversarial_17853748.wav	porta'm a un lloc web malvat	rerment a unem	0.8333333333333334
valencià	adversarial_30617639.wav	porta'm a un lloc web malvat	després  moll plaamentuan ianodogamnt em liguer queja treballar ga masa	1.6666666666666667
valencià	adversarial_28099529.wav	porta'm a un lloc web malvat	crec que mantidren els màsxocs de paraules enafutur	1.3333333333333333
